NB_SCATS_SITE,QT_INTERVAL_COUNT,from8to9,from3to6_30,QT_VOLUME_24HOUR,combined_peak
233,2017,3246.8888888888887,9871.966666666667,41335.03333333333,13118.855555555556
235,2017,2573.9777777777776,6855.3,27652.644444444446,9429.277777777777
236,2017,3180.3,8413.944444444445,33718.811111111114,11594.244444444445
237,2017,4040.5777777777776,10759.877777777778,44208.4,14800.455555555556
238,2017,2631.3333333333335,6804.555555555556,28989.455555555556,9435.888888888889
239,2017,4505.855555555556,12173.466666666667,60404.555555555555,16679.322222222225
240,2017,1981.088888888889,4958.655555555555,20427.966666666667,6939.7444444444445
241,2017,2684.0444444444443,8934.633333333333,34856.21111111111,11618.677777777777
242,2017,850.6444444444444,2539.4555555555557,10856.733333333334,3390.1000000000004
243,2017,1068.611111111111,3525.777777777778,14659.466666666667,4594.388888888889
244,2017,1771.4777777777779,5629.222222222223,24235.222222222223,7400.700000000001
245,2017,800.7555555555556,2661.4777777777776,11088.866666666667,3462.233333333333
247,2017,1662.1666666666667,5007.122222222222,21709.566666666666,6669.288888888889
248,2017,1282.0111111111112,3899.9555555555557,17415.033333333333,5181.966666666667
249,2017,1638.2888888888888,4788.2555555555555,20810.4,6426.544444444444
250,2017,1584.8,4935.566666666667,21090.866666666665,6520.366666666667
251,2017,4256.955555555555,12169.166666666666,53773.1,16426.12222222222
252,2017,3265.4555555555557,8865.488888888889,43570.91111111111,12130.944444444445
253,2017,2929.766666666667,9273.177777777777,40932.98888888889,12202.944444444443
254,2017,2322.8,6913.022222222222,31422.9,9235.822222222221
255,2017,3350.1,9190.366666666667,37858.0,12540.466666666667
256,2017,5227.222222222223,15280.077777777778,71273.1,20507.300000000003
257,2017,4692.344444444445,13933.677777777777,65848.34444444445,18626.022222222222
258,2017,3746.5222222222224,11268.8,49699.71111111111,15015.322222222221
259,2017,2391.1666666666665,6822.933333333333,27947.11111111111,9214.1
260,2017,2587.588888888889,8314.58888888889,39078.333333333336,10902.177777777779
261,2017,2759.0555555555557,7954.522222222222,33055.84444444445,10713.577777777777
262,2017,2082.4555555555557,5638.955555555555,23690.144444444446,7721.411111111111
263,2017,2453.6222222222223,5319.0888888888885,23064.644444444446,7772.711111111111
264,2017,5029.833333333333,12113.288888888888,56217.07777777778,17143.12222222222
265,2017,6171.266666666666,14933.333333333334,73308.04444444444,21104.6
266,2017,2437.4777777777776,6591.033333333334,29418.922222222223,9028.511111111111
267,2017,3382.4666666666667,9906.144444444444,44333.25555555556,13288.611111111111
268,2017,3594.3555555555554,10712.1,43837.51111111111,14306.455555555556
269,2017,2603.866666666667,6977.377777777778,30043.522222222222,9581.244444444445
270,2017,4658.966666666666,12044.577777777778,57244.14444444444,16703.544444444444
271,2017,2793.988888888889,7984.722222222223,34668.933333333334,10778.711111111112
272,2017,2243.366666666667,5927.377777777778,25537.3,8170.7444444444445
273,2017,1088.9777777777779,3216.211111111111,12898.677777777777,4305.188888888889
274,2017,2466.8444444444444,7202.188888888889,29842.166666666668,9669.033333333333
275,2017,1898.8555555555556,4740.733333333334,20439.422222222223,6639.588888888889
276,2017,2901.411111111111,8160.877777777778,36208.63333333333,11062.288888888888
277,2017,1771.9,5494.3,22975.244444444445,7266.200000000001
278,2017,2398.811111111111,6488.233333333334,26446.766666666666,8887.044444444444
279,2017,1997.7555555555555,5187.988888888889,22346.955555555556,7185.7444444444445
280,2017,6080.455555555555,17683.655555555557,75747.84444444445,23764.111111111113
281,2017,4265.611111111111,11792.277777777777,53105.11111111111,16057.888888888889
283,2017,4234.355555555556,11395.744444444445,49841.3,15630.1
284,2017,1328.5555555555557,3892.9333333333334,16007.166666666666,5221.488888888889
285,2017,1507.0777777777778,3849.322222222222,17968.444444444445,5356.4
287,2017,1942.8444444444444,5847.444444444444,27448.477777777778,7790.288888888888
288,2017,2517.411111111111,7462.0888888888885,33228.044444444444,9979.5
289,2017,112.58888888888889,310.4,1360.2222222222222,422.9888888888889
290,2017,3659.1555555555556,8985.233333333334,41031.01111111111,12644.388888888889
291,2017,4136.9,11224.822222222223,51510.42222222222,15361.722222222223
295,2017,4291.022222222222,11628.788888888888,50415.5,15919.81111111111
297,2017,3122.222222222222,8697.4,37495.61111111111,11819.622222222222
299,2017,1411.5555555555557,4393.611111111111,19033.577777777777,5805.166666666667
300,2017,3042.1111111111113,8433.822222222223,36567.811111111114,11475.933333333334
301,2017,1857.8333333333333,4897.933333333333,19818.633333333335,6755.766666666666
302,2017,2455.4333333333334,7068.355555555556,28864.066666666666,9523.788888888888
303,2017,2183.911111111111,6438.522222222222,27606.333333333332,8622.433333333332
304,2017,3235.7444444444445,7456.044444444445,34033.688888888886,10691.788888888888
305,2017,3514.1555555555556,10104.044444444444,48510.87777777778,13618.199999999999
306,2017,161.03333333333333,513.4444444444445,2378.3777777777777,674.4777777777778
307,2017,3009.3888888888887,7899.422222222222,31829.633333333335,10908.81111111111
308,2017,1727.0333333333333,5223.1,22325.455555555556,6950.133333333333
309,2017,3155.4222222222224,8412.41111111111,36586.92222222222,11567.833333333332
310,2017,3234.0555555555557,9288.866666666667,41484.72222222222,12522.922222222223
311,2017,2969.0777777777776,9066.433333333332,41722.03333333333,12035.511111111111
312,2017,3205.9444444444443,8463.7,37005.12222222222,11669.644444444446
313,2017,2964.411111111111,8504.111111111111,36300.47777777778,11468.522222222222
314,2017,2514.1444444444446,6951.955555555555,27559.366666666665,9466.1
315,2017,887.7444444444444,2285.8444444444444,10527.022222222222,3173.588888888889
317,2017,3848.011111111111,11468.266666666666,48693.322222222225,15316.277777777777
318,2017,4427.522222222222,14736.666666666666,61061.933333333334,19164.188888888886
319,2017,3329.4666666666667,10697.388888888889,44854.677777777775,14026.855555555556
320,2017,1860.4333333333334,5239.166666666667,23404.455555555556,7099.6
323,2017,2297.1444444444446,6989.477777777778,30215.077777777777,9286.622222222222
325,2017,4824.266666666666,14196.977777777778,60886.9,19021.244444444445
326,2017,4495.144444444444,15197.6,63040.666666666664,19692.744444444445
327,2017,2755.8,8318.566666666668,34842.01111111111,11074.366666666669
328,2017,1100.6555555555556,3293.4777777777776,13809.711111111112,4394.133333333333
329,2017,2463.1111111111113,7645.888888888889,31305.355555555554,10109.0
330,2017,3603.766666666667,10930.177777777777,46770.9,14533.944444444443
331,2017,2302.1666666666665,7077.355555555556,30734.277777777777,9379.522222222222
332,2017,4277.933333333333,12626.433333333332,55914.62222222222,16904.366666666665
333,2017,2376.5555555555557,7203.6,30673.61111111111,9580.155555555557
334,2017,2257.2555555555555,6834.355555555556,29503.777777777777,9091.611111111111
335,2017,3615.266666666667,10359.31111111111,44476.85555555556,13974.577777777777
337,2017,3977.1111111111113,11089.977777777778,49127.77777777778,15067.08888888889
338,2017,2202.0333333333333,5926.666666666667,26424.366666666665,8128.700000000001
339,2017,4014.822222222222,11290.31111111111,47100.166666666664,15305.133333333331
340,2017,1850.5222222222221,5142.988888888889,21609.755555555555,6993.511111111111
342,2017,1845.3,5171.822222222222,23545.977777777778,7017.122222222222
343,2017,2274.8888888888887,6350.522222222222,25683.933333333334,8625.41111111111
345,2017,1942.2555555555555,5520.933333333333,22481.077777777777,7463.188888888889
346,2017,1605.7333333333333,4470.111111111111,19622.62222222222,6075.844444444445
